feature,importance,std
deficit_score,0.80760833426587,0.029617554545110458
price_gap_score,0.15629467145760534,0.022964160503457887
national_median_gap,0.047930218018158624,0.0036383398089060723
lon,0.03216614448422253,0.005677875646669926
price,0.015811472426032494,0.0021854562061649064
surplus_score,0.013334169518124217,0.003534035210731333
price_zscore_past6,0.004712937871745662,0.0011085216450587466
balance_deficit_score,0.002285766334023151,0.0006682340947998869
surplus_proxy_ton,0.0019490305587561152,0.0006885148476221661
change_score,0.0008332889579466124,0.0011649101861381645
production_ton_year,0.0007451071293451822,0.0006025702659008787
need_ton_year,0.0005119462886385845,0.000767021396857908
price_14d_change,0.00047585504767458375,0.0017939065067237108
region,0.000407468299667077,0.0008827893735046327
balance_surplus_score,0.0001908467655462598,9.3046212013261e-05
lat,-0.00029413866615242423,0.001181246109739102
anomaly_score,-0.0013735586613055073,0.0005698482431488382
