 ;Jumlah kasus infeksi dengue = 18.889
KOTA SALATIGA;25
MAGELANG;60
WONOGIRI;90
KOTA MAGELANG;108
PURBALINGGA;120
KOTA PEKALONGAN;121
TEMANGGUNG;167
KOTA TEGAL;181
KUDUS;188
SEMARANG;188
BATANG;188
PEKALONGAN;207
KOTA SURAKARTA;209
KLATEN;234
CILACAP;235
PEMALANG;274
WONOSOBO;346
REMBANG;357
GROBOGAN;431
KARANGANYAR;460
SUKOHARJO;516
KEBUMEN;525
BLORA;530
BANJARNEGARA;630
BANYUMAS;852
SRAGEN;880
KENDAL;892
BOYOLALI;907
BREBES;928
DEMAK;1019
TEGAL;1066
KOTA SEMARANG;1120
JEPARA;1178
PATI;1267
PURWOREJO;2390
