date,location_id,location_level,location_name,case_status,case_definition,temporal_resolution,dengue_total
2007-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,20071.0
2007-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,25848.0
2007-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,20473.0
2007-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,17343.0
2007-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,17221.0
2007-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13325.0
2007-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10449.0
2007-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7470.0
2007-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5181.0
2007-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5047.0
2007-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6893.0
2007-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8794.0
2009-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,18532.0
2009-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,16545.0
2009-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,17146.0
2009-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,16647.0
2009-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,15654.0
2009-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,14120.0
2009-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13703.0
2009-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9826.0
2009-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7598.0
2009-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8345.0
2009-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9850.0
2009-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10946.0
2010-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,22796.0
2010-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,22490.0
2010-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,19554.0
2010-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,16274.0
2010-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13364.0
2010-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,11643.0
2010-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10929.0
2010-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9615.0
2010-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7986.0
